,,,,,,Opening balance,70,Field capacity,70,Stress point,28,Wilting point,0
8/09/1980,1.5,1.366,9,1980,1.366,373.828,,,,,,,
9/09/1980,9.8,2.005,9,1980,2.005,381.623,,,,,,,
10/09/1980,6.5,1.984,9,1980,1.984,386.139,,,,,,,
11/09/1980,7.4,1.918,9,1980,1.918,391.621,,,,,,,
12/09/1980,1.4,2.528,9,1980,2.528,390.493,,,,,,,
13/09/1980,18.1,1.214,9,1980,1.214,407.379,,,,,,,
14/09/1980,0,2.263,9,1980,2.263,405.116,,,,,,,
15/09/1980,0,1.521,9,1980,1.521,403.595,,,,,,,
16/09/1980,10.9,1.21,9,1980,1.21,413.285,,,,,,,
17/09/1980,7.2,1.948,9,1980,1.948,418.537,,,,,,,
18/09/1980,0,2.101,9,1980,2.101,416.436,,,,,,,
19/09/1980,11.5,1.007,9,1980,1.007,426.929,,,,,,,
20/09/1980,8.8,2.653,9,1980,2.653,433.076,,,,,,,
21/09/1980,0,2.13,9,1980,2.13,430.946,,,,,,,
22/09/1980,4.5,1.782,9,1980,1.782,433.664,,,,,,,
23/09/1980,0,2.424,9,1980,2.424,431.24,,,,,,,
24/09/1980,0,2,9,1980,2,429.24,,,,,,,
25/09/1980,0,2.825,9,1980,2.825,426.415,,,,,,,
26/09/1980,0,1.173,9,1980,1.173,425.242,,,,,,,
27/09/1980,14.1,1.16,9,1980,1.16,438.182,,,,,,,
28/09/1980,0,2.2,9,1980,2.2,435.982,,,,,,,
29/09/1980,0,2.535,9,1980,2.535,433.447,,,,,,,
30/09/1980,0,1.436,9,1980,1.436,432.011,,,,,,,
1/10/1980,0,3.876,10,1980,3.876,428.135,,,,,,,
2/10/1980,0,1.686,10,1980,1.686,426.449,,,,,,,
3/10/1980,0,2.892,10,1980,2.892,423.557,,,,,,,
4/10/1980,14.3,2.625,10,1980,2.625,435.232,,,,,,,
5/10/1980,0,1.467,10,1980,1.467,433.765,,,,,,,
6/10/1980,0,3.516,10,1980,3.516,430.249,,,,,,,
7/10/1980,0,2.987,10,1980,2.987,427.262,,,,,,,
8/10/1980,0,3.734,10,1980,3.734,423.528,,,,,,,
9/10/1980,15.5,2.79,10,1980,2.79,436.238,,,,,,,
10/10/1980,1.3,1.686,10,1980,1.686,435.852,,,,,,,
11/10/1980,0,3.067,10,1980,3.067,432.785,,,,,,,
12/10/1980,2.2,3.311,10,1980,3.311,431.674,,,,,,,
13/10/1980,0,2.642,10,1980,2.642,429.032,,,,,,,
14/10/1980,5.4,2.878,10,1980,2.878,431.554,,,,,,,
15/10/1980,1.3,2.626,10,1980,2.626,430.228,,,,,,,
16/10/1980,0,2.665,10,1980,2.665,427.563,,,,,,,
17/10/1980,21.1,1.415,10,1980,1.415,447.248,,,,,,,
18/10/1980,1.7,1.759,10,1980,1.759,447.189,,,,,,,
19/10/1980,0,3.651,10,1980,3.651,443.538,,,,,,,
20/10/1980,0,3.787,10,1980,3.787,439.751,,,,,,,
21/10/1980,0,4.193,10,1980,4.193,435.558,,,,,,,
22/10/1980,0,1.939,10,1980,1.939,433.619,,,,,,,
23/10/1980,0,4.111,10,1980,4.111,429.508,,,,,,,
24/10/1980,0,3.973,10,1980,3.973,425.535,,,,,,,
25/10/1980,0,4.063,10,1980,4.063,421.472,,,,,,,
26/10/1980,0,3.7,10,1980,3.7,417.772,,,,,,,
27/10/1980,0,3.009,10,1980,3.009,414.763,,,,,,,
28/10/1980,0,2.201,10,1980,2.201,412.562,,,,,,,
29/10/1980,7.4,2.028,10,1980,2.028,417.934,,,,,,,
30/10/1980,1.4,3.397,10,1980,3.397,415.937,,,,,,,
31/10/1980,3.2,3.756,10,1980,3.756,415.381,,,,,,,
1/11/1980,0,3.64,11,1980,3.64,411.741,,,,,,,
2/11/1980,3.4,4.706,11,1980,4.706,410.435,,,,,,,
3/11/1980,0,4.46,11,1980,4.46,405.975,,,,,,,
4/11/1980,16.3,2.67,11,1980,2.67,419.605,,,,,,,
5/11/1980,0,2.596,11,1980,2.596,417.009,,,,,,,
6/11/1980,0,4.13,11,1980,4.13,412.879,,,,,,,
7/11/1980,6.9,2.095,11,1980,2.095,417.684,,,,,,,
8/11/1980,7.9,2.145,11,1980,2.145,423.439,,,,,,,
9/11/1980,1.9,1.88,11,1980,1.88,423.459,,,,,,,
10/11/1980,3.9,4.287,11,1980,4.287,423.072,,,,,,,
11/11/1980,0,2.231,11,1980,2.231,420.841,,,,,,,
12/11/1980,0,3.474,11,1980,3.474,417.367,,,,,,,
13/11/1980,0,4.657,11,1980,4.657,412.71,,,,,,,
14/11/1980,0,3.726,11,1980,3.726,408.984,,,,,,,
15/11/1980,0,2.709,11,1980,2.709,406.275,,,,,,,
16/11/1980,7.8,4.037,11,1980,4.037,410.038,,,,,,,
17/11/1980,0,4.657,11,1980,4.657,405.381,,,,,,,
18/11/1980,0,2.733,11,1980,2.733,402.648,,,,,,,
19/11/1980,0,4.029,11,1980,4.029,398.619,,,,,,,
20/11/1980,2.3,3.715,11,1980,3.715,397.204,,,,,,,
21/11/1980,0,4.475,11,1980,4.475,392.729,,,,,,,
22/11/1980,5.5,4.898,11,1980,4.898,393.331,,,,,,,
23/11/1980,2.3,4.116,11,1980,4.116,391.515,,,,,,,
24/11/1980,10.2,3.212,11,1980,3.212,398.503,,,,,,,
25/11/1980,7.9,3.68,11,1980,3.68,402.723,,,,,,,
26/11/1980,2.8,3.085,11,1980,3.085,402.438,,,,,,,
27/11/1980,7.6,1.853,11,1980,1.853,408.185,,,,,,,
28/11/1980,0,4.398,11,1980,4.398,403.787,,,,,,,
29/11/1980,0,3.153,11,1980,3.153,400.634,,,,,,,
30/11/1980,13,1.819,11,1980,1.819,411.815,,,,,,,
1/12/1980,0,4.632,12,1980,4.632,407.183,,,,,,,
2/12/1980,0,4.265,12,1980,4.265,402.918,,,,,,,
3/12/1980,0,4.89,12,1980,4.89,398.028,,,,,,,
4/12/1980,0,2.984,12,1980,2.984,395.044,,,,,,,
5/12/1980,3.6,2.335,12,1980,2.335,396.309,,,,,,,
6/12/1980,0,4.378,12,1980,4.378,391.931,,,,,,,
7/12/1980,0,5.051,12,1980,5.051,386.88,,,,,,,
8/12/1980,0,4.287,12,1980,4.287,382.593,,,,,,,
9/12/1980,1.5,2.76,12,1980,2.76,381.333,,,,,,,
10/12/1980,0,4.12,12,1980,4.12,377.213,,,,,,,
11/12/1980,0,3.708,12,1980,3.708,373.505,,,,,,,
12/12/1980,0,3.441,12,1980,3.441,370.064,,,,,,,
13/12/1980,0,4.034,12,1980,4.034,366.03,,,,,,,
14/12/1980,0,4.205,12,1980,4.205,361.825,,,,,,,
15/12/1980,0,5.078,12,1980,5.078,356.747,,,,,,,
16/12/1980,0,3.874,12,1980,3.874,352.873,,,,,,,
17/12/1980,0,4.401,12,1980,4.401,348.472,,,,,,,
18/12/1980,6.2,2.962,12,1980,2.962,351.71,,,,,,,
19/12/1980,0,2.587,12,1980,2.587,349.123,,,,,,,
20/12/1980,0,4.171,12,1980,4.171,344.952,,,,,,,
21/12/1980,0,4.637,12,1980,4.637,340.315,,,,,,,
22/12/1980,24.9,2.311,12,1980,2.311,362.904,,,,,,,
23/12/1980,54.6,2.197,12,1980,2.197,415.307,,,,,,,
24/12/1980,8,3.19,12,1980,3.19,420.117,,,,,,,
25/12/1980,11.1,4.005,12,1980,4.005,427.212,,,,,,,
26/12/1980,1.9,2.725,12,1980,2.725,426.387,,,,,,,
27/12/1980,1.5,2.46,12,1980,2.46,425.427,,,,,,,
28/12/1980,0,2.278,12,1980,2.278,423.149,,,,,,,
29/12/1980,0,4.974,12,1980,4.974,418.175,,,,,,,
30/12/1980,0,4.099,12,1980,4.099,414.076,,,,,,,
31/12/1980,0,4.69,12,1980,4.69,409.386,,,,,,,
1/01/1981,0,5.589,1,1981,5.589,403.797,,,,,,,
2/01/1981,0,3.583,1,1981,3.583,400.214,,,,,,,
3/01/1981,0,5.009,1,1981,5.009,395.205,,,,,,,
4/01/1981,0,5.005,1,1981,5.005,390.2,,,,,,,
5/01/1981,0,4.848,1,1981,4.848,385.352,,,,,,,
6/01/1981,0,5.021,1,1981,5.021,380.331,,,,,,,
7/01/1981,0,3.411,1,1981,3.411,376.92,,,,,,,
8/01/1981,0,5.005,1,1981,5.005,371.915,,,,,,,
9/01/1981,0,5.588,1,1981,5.588,366.327,,,,,,,
10/01/1981,0,6.205,1,1981,6.205,360.122,,,,,,,
11/01/1981,0,4.015,1,1981,4.015,356.107,,,,,,,
12/01/1981,13.3,2.714,1,1981,2.714,366.693,,,,,,,
13/01/1981,15.8,2.213,1,1981,2.213,380.28,,,,,,,
14/01/1981,0,3.744,1,1981,3.744,376.536,,,,,,,
15/01/1981,0,5.113,1,1981,5.113,371.423,,,,,,,
16/01/1981,3.4,3.887,1,1981,3.887,370.936,,,,,,,
17/01/1981,0,3.486,1,1981,3.486,367.45,,,,,,,
18/01/1981,0,2.981,1,1981,2.981,364.469,,,,,,,
19/01/1981,0,3.243,1,1981,3.243,361.226,,,,,,,
20/01/1981,4.7,2.312,1,1981,2.312,363.614,,,,,,,
21/01/1981,0,3.699,1,1981,3.699,359.915,,,,,,,
22/01/1981,0,5.62,1,1981,5.62,354.295,,,,,,,
23/01/1981,0,3.287,1,1981,3.287,351.008,,,,,,,
24/01/1981,0,4.252,1,1981,4.252,346.756,,,,,,,
25/01/1981,0,5.605,1,1981,5.605,341.151,,,,,,,
26/01/1981,0,5.878,1,1981,5.878,335.273,,,,,,,
27/01/1981,0,5.339,1,1981,5.339,329.934,,,,,,,
28/01/1981,0,3.424,1,1981,3.424,326.51,,,,,,,
29/01/1981,0,4.079,1,1981,4.079,322.431,,,,,,,
30/01/1981,0,3.455,1,1981,3.455,318.976,,,,,,,
31/01/1981,0,4.177,1,1981,4.177,314.799,,,,,,,
1/02/1981,8.5,2.206,2,1981,2.206,321.093,,,,,,,
2/02/1981,0,5.078,2,1981,5.078,316.015,,,,,,,
3/02/1981,0,4.932,2,1981,4.932,311.083,,,,,,,
4/02/1981,0,3.834,2,1981,3.834,307.249,,,,,,,
5/02/1981,0,4.73,2,1981,4.73,302.519,,,,,,,
6/02/1981,16.1,2.725,2,1981,2.725,315.894,,,,,,,
7/02/1981,4.2,1.924,2,1981,1.924,318.17,,,,,,,
8/02/1981,0,3.205,2,1981,3.205,314.965,,,,,,,
9/02/1981,0,3.741,2,1981,3.741,311.224,,,,,,,
10/02/1981,0,4.699,2,1981,4.699,306.525,,,,,,,
11/02/1981,5.7,3.906,2,1981,3.906,308.319,,,,,,,
12/02/1981,0,3.281,2,1981,3.281,305.038,,,,,,,
13/02/1981,0,2.248,2,1981,2.248,302.79,,,,,,,
14/02/1981,7.4,1.949,2,1981,1.949,308.241,,,,,,,
15/02/1981,0,3.317,2,1981,3.317,304.924,,,,,,,
16/02/1981,5.8,4.69,2,1981,4.69,306.034,,,,,,,
17/02/1981,0,4.483,2,1981,4.483,301.551,,,,,,,
18/02/1981,0,2.621,2,1981,2.621,298.93,,,,,,,
19/02/1981,0,2.808,2,1981,2.808,296.122,,,,,,,
20/02/1981,0,4.923,2,1981,4.923,291.199,,,,,,,
21/02/1981,0,4.652,2,1981,4.652,286.547,,,,,,,
22/02/1981,0,4.98,2,1981,4.98,281.567,,,,,,,
23/02/1981,0,3.45,2,1981,3.45,278.117,,,,,,,
24/02/1981,0,3.527,2,1981,3.527,274.59,,,,,,,
25/02/1981,0,5.218,2,1981,5.218,269.372,,,,,,,
26/02/1981,0,3.765,2,1981,3.765,265.607,,,,,,,
27/02/1981,0,4.987,2,1981,4.987,260.62,,,,,,,
28/02/1981,10.8,4.319,2,1981,4.319,267.101,,,,,,,
1/03/1981,41,1.852,3,1981,1.852,306.249,,,,,,,
2/03/1981,0,1.785,3,1981,1.785,304.464,,,,,,,
3/03/1981,0,1.568,3,1981,1.568,302.896,,,,,,,
4/03/1981,0,3.338,3,1981,3.338,299.558,,,,,,,
5/03/1981,0,2.4,3,1981,2.4,297.158,,,,,,,
6/03/1981,0,1.992,3,1981,1.992,295.166,,,,,,,
7/03/1981,0,1.52,3,1981,1.52,293.646,,,,,,,
8/03/1981,1.7,3.108,3,1981,3.108,292.238,,,,,,,
9/03/1981,3.4,2.395,3,1981,2.395,293.243,,,,,,,
10/03/1981,0,3.073,3,1981,3.073,290.17,,,,,,,
11/03/1981,0,3.253,3,1981,3.253,286.917,,,,,,,
12/03/1981,2.5,3.758,3,1981,3.758,285.659,,,,,,,
13/03/1981,0,3.483,3,1981,3.483,282.176,,,,,,,
14/03/1981,0,2.281,3,1981,2.281,279.895,,,,,,,
15/03/1981,0,3.169,3,1981,3.169,276.726,,,,,,,
16/03/1981,3.6,1.395,3,1981,1.395,278.931,,,,,,,
17/03/1981,18,1.508,3,1981,1.508,295.423,,,,,,,
18/03/1981,0,1.734,3,1981,1.734,293.689,,,,,,,
19/03/1981,0,3.399,3,1981,3.399,290.29,,,,,,,
20/03/1981,1.1,1.74,3,1981,1.74,289.65,,,,,,,
21/03/1981,0,3.323,3,1981,3.323,286.327,,,,,,,
22/03/1981,0,2.991,3,1981,2.991,283.336,,,,,,,
23/03/1981,0,2.052,3,1981,2.052,281.284,,,,,,,
24/03/1981,0,1.407,3,1981,1.407,279.877,,,,,,,
25/03/1981,11.7,1.807,3,1981,1.807,289.77,,,,,,,
26/03/1981,12.1,1.863,3,1981,1.863,300.007,,,,,,,
27/03/1981,15.7,2.317,3,1981,2.317,313.39,,,,,,,
28/03/1981,0,2.297,3,1981,2.297,311.093,,,,,,,
29/03/1981,0,3.413,3,1981,3.413,307.68,,,,,,,
30/03/1981,0,3.414,3,1981,3.414,304.266,,,,,,,
31/03/1981,0,3.55,3,1981,3.55,300.716,,,,,,,
1/04/1981,0,2.327,4,1981,2.327,298.389,,,,,,,
2/04/1981,0,1.47,4,1981,1.47,296.919,,,,,,,
3/04/1981,0,2.655,4,1981,2.655,294.264,,,,,,,
4/04/1981,0,2.136,4,1981,2.136,292.128,,,,,,,
5/04/1981,0,2.615,4,1981,2.615,289.513,,,,,,,
6/04/1981,0,2.452,4,1981,2.452,287.061,,,,,,,
7/04/1981,0,1.78,4,1981,1.78,285.281,,,,,,,
8/04/1981,0,2.167,4,1981,2.167,283.114,,,,,,,
9/04/1981,0,2.479,4,1981,2.479,280.635,,,,,,,
10/04/1981,0,1.785,4,1981,1.785,278.85,,,,,,,
11/04/1981,35.8,1.66,4,1981,1.66,312.99,,,,,,,
12/04/1981,1.6,0.819,4,1981,0.819,313.771,,,,,,,
13/04/1981,2.4,0.799,4,1981,0.799,315.372,,,,,,,
14/04/1981,2.9,1.217,4,1981,1.217,317.055,,,,,,,
15/04/1981,4.6,1.825,4,1981,1.825,319.83,,,,,,,
16/04/1981,0,1.86,4,1981,1.86,317.97,,,,,,,
17/04/1981,4,1.726,4,1981,1.726,320.244,,,,,,,
18/04/1981,0,1.837,4,1981,1.837,318.407,,,,,,,
19/04/1981,0,2.269,4,1981,2.269,316.138,,,,,,,
20/04/1981,0,1.412,4,1981,1.412,314.726,,,,,,,
21/04/1981,1.1,1.222,4,1981,1.222,314.604,,,,,,,
22/04/1981,0,1.607,4,1981,1.607,312.997,,,,,,,
23/04/1981,0,1.354,4,1981,1.354,311.643,,,,,,,
24/04/1981,0,1.821,4,1981,1.821,309.822,,,,,,,
25/04/1981,0,2.167,4,1981,2.167,307.655,,,,,,,
26/04/1981,6,1.435,4,1981,1.435,312.22,,,,,,,
27/04/1981,6.1,1.672,4,1981,1.672,316.648,,,,,,,
28/04/1981,0,1.681,4,1981,1.681,314.967,,,,,,,
29/04/1981,1.4,1.613,4,1981,1.613,314.754,,,,,,,
30/04/1981,1.3,1.648,4,1981,1.648,314.406,,,,,,,
1/05/1981,0,1.704,5,1981,1.704,312.702,,,,,,,
2/05/1981,0,1.706,5,1981,1.706,310.996,,,,,,,
3/05/1981,0,1.687,5,1981,1.687,309.309,,,,,,,
4/05/1981,0,1.395,5,1981,1.395,307.914,,,,,,,
5/05/1981,0,1.539,5,1981,1.539,306.375,,,,,,,
6/05/1981,0,1.388,5,1981,1.388,304.987,,,,,,,
7/05/1981,0,0.681,5,1981,0.681,304.306,,,,,,,
8/05/1981,0,0.427,5,1981,0.427,303.879,,,,,,,
9/05/1981,4.3,0.663,5,1981,0.663,307.516,,,,,,,
10/05/1981,1.3,0.977,5,1981,0.977,307.839,,,,,,,
11/05/1981,6.7,1.249,5,1981,1.249,313.29,,,,,,,
12/05/1981,16.6,1.173,5,1981,1.173,328.717,,,,,,,
13/05/1981,4.3,0.652,5,1981,0.652,332.365,,,,,,,
14/05/1981,0,1.272,5,1981,1.272,331.093,,,,,,,
15/05/1981,3.6,0.706,5,1981,0.706,333.987,,,,,,,
16/05/1981,0,1.121,5,1981,1.121,332.866,,,,,,,
17/05/1981,1.1,1.084,5,1981,1.084,332.882,,,,,,,
18/05/1981,0,1.357,5,1981,1.357,331.525,,,,,,,
19/05/1981,4.1,0.459,5,1981,0.459,335.166,,,,,,,
20/05/1981,6.7,0.506,5,1981,0.506,341.36,,,,,,,
21/05/1981,2.5,0.406,5,1981,0.406,343.454,,,,,,,
22/05/1981,2.2,0.449,5,1981,0.449,345.205,,,,,,,
23/05/1981,0,0.43,5,1981,0.43,344.775,,,,,,,
24/05/1981,0,1.272,5,1981,1.272,343.503,,,,,,,
25/05/1981,0,1.088,5,1981,1.088,342.415,,,,,,,
26/05/1981,0,1.259,5,1981,1.259,341.156,,,,,,,
27/05/1981,0,1.243,5,1981,1.243,339.913,,,,,,,
28/05/1981,0,1.398,5,1981,1.398,338.515,,,,,,,
29/05/1981,0,1.105,5,1981,1.105,337.41,,,,,,,
30/05/1981,0,0.552,5,1981,0.552,336.858,,,,,,,
31/05/1981,11.9,0.354,5,1981,0.354,348.404,,,,,,,
1/06/1981,0,0.235,6,1981,0.235,348.169,,,,,,,
2/06/1981,7.2,0.224,6,1981,0.224,355.145,,,,,,,
3/06/1981,6.4,0.209,6,1981,0.209,361.336,,,,,,,
4/06/1981,21.1,0.282,6,1981,0.282,382.154,,,,,,,
5/06/1981,8.3,0.233,6,1981,0.233,390.221,,,,,,,
6/06/1981,11.1,0.278,6,1981,0.278,401.043,,,,,,,
7/06/1981,13.6,0.221,6,1981,0.221,414.422,,,,,,,
8/06/1981,6,0.201,6,1981,0.201,420.221,,,,,,,
9/06/1981,0,0.525,6,1981,0.525,419.696,,,,,,,
10/06/1981,0,1.012,6,1981,1.012,418.684,,,,,,,
11/06/1981,0,0.761,6,1981,0.761,417.923,,,,,,,
12/06/1981,6.1,0.201,6,1981,0.201,423.822,,,,,,,
13/06/1981,1.4,0.179,6,1981,0.179,425.043,,,,,,,
14/06/1981,4.8,0.265,6,1981,0.265,429.578,,,,,,,
15/06/1981,13.1,0.539,6,1981,0.539,442.139,,,,,,,
16/06/1981,3.6,0.962,6,1981,0.962,444.777,,,,,,,
17/06/1981,9,0.54,6,1981,0.54,453.237,,,,,,,
18/06/1981,5.3,0.514,6,1981,0.514,458.023,,,,,,,
19/06/1981,2.3,0.588,6,1981,0.588,459.735,,,,,,,
20/06/1981,0,0.671,6,1981,0.671,459.064,,,,,,,
21/06/1981,2.7,0.997,6,1981,0.997,460.767,,,,,,,
22/06/1981,0,0.359,6,1981,0.359,460.408,,,,,,,
23/06/1981,0,0.918,6,1981,0.918,459.49,,,,,,,
24/06/1981,0,0.586,6,1981,0.586,458.904,,,,,,,
25/06/1981,0,0.87,6,1981,0.87,458.034,,,,,,,
26/06/1981,10.3,0.539,6,1981,0.539,467.795,,,,,,,
27/06/1981,10.7,0.53,6,1981,0.53,477.965,,,,,,,
28/06/1981,18.1,0.233,6,1981,0.233,495.832,,,,,,,
29/06/1981,5.2,0.576,6,1981,0.576,500.456,,,,,,,
30/06/1981,0,0.415,6,1981,0.415,500.041,,,,,,,
1/07/1981,0,1.29,7,1981,1.29,498.751,,,,,,,
2/07/1981,6.6,0.456,7,1981,0.456,504.895,,,,,,,
3/07/1981,9.6,0.594,7,1981,0.594,513.901,,,,,,,
4/07/1981,8,0.854,7,1981,0.854,521.047,,,,,,,
5/07/1981,12.9,0.291,7,1981,0.291,533.656,,,,,,,
6/07/1981,5.1,0.694,7,1981,0.694,538.062,,,,,,,
7/07/1981,19.2,0.649,7,1981,0.649,556.613,,,,,,,
8/07/1981,14.5,0.521,7,1981,0.521,570.592,,,,,,,
9/07/1981,1.1,0.683,7,1981,0.683,571.009,,,,,,,
10/07/1981,1.4,0.264,7,1981,0.264,572.145,,,,,,,
11/07/1981,0,0.378,7,1981,0.378,571.767,,,,,,,
12/07/1981,0,0.349,7,1981,0.349,571.418,,,,,,,
13/07/1981,0,0.799,7,1981,0.799,570.619,,,,,,,
14/07/1981,0,0.936,7,1981,0.936,569.683,,,,,,,
